순위,제목,저자,출판사,가격
1,유지만 다이어트 레시피,유지만,길벗,"19,800"
2,"첫 여름, 완주",김금희,무제,"15,300"
3,혼모노,성해나,창비,"16,200"
4,청춘의 독서,유시민,웅진지식하우스,"17,010"
5,이재명 자서전,이재명,아시아,"15,120"
6,우리의 낙원에서 만나자,하태완,북로망스,"17,550"
7,단 한 번의 삶,김영하,복복서가,"15,120"
8,만화로 읽으면 안 어려운 천문학,이즐라,더숲,"18,000"
9,안녕이라 그랬어,김애란,문학동네,"15,120"
10,소년이 온다,한강,창비,"13,500"
11,어른의 품격을 채우는 100일 필사 노트,김종원,청림Life,"18,000"
12,어른의 행복은 조용하다,태수,페이지2북스,"16,020"
13,"혹시, 돈 얘기해도 될까요?",주언규,필름,"17,820"
14,왓츠 유어 드림,사이먼 스큅,북파머스,"19,800"
15,같이 읽자는 고백,김소영,이야기장수,"16,650"
16,워런 버핏 웨이,로버트 해그스트롬,상상스퀘어,"29,700"
17,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북,"14,850"
18,모순,양귀자,쓰다,"11,700"
19,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,YBM(와이비엠),"17,820"
20,일과 성공의 길을 묻다,마쓰시타 고노스케,지니의서재,"16,020"
21,결국 국민이 합니다,이재명,오마이북,"19,800"
22,미술관에 간 할미,할미,더퀘스트,"18,900"
23,급류,정대건,민음사,"12,600"
24,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북,"14,400"
25,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS,YBM(와이비엠),"17,820"
26,마침내 특이점이 시작된다,레이 커즈와일,비즈니스북스,"27,000"
27,빅 사이클,레이 달리오,한빛비즈,"34,200"
28,위버멘쉬,프리드리히 니체,떠오름,"16,020"
29,초역 부처의 말,코이케 류노스케,포레스트북스,"16,020"
30,멜로우TV 3 : 멜싹오싹 위험한 미션,멜로우 TV,학산문화사(단행본),"15,120"
31,듀얼 브레인,이선 몰릭,상상스퀘어,"18,900"
